Country,Industry,Carbon_emission
IRL,L68,8.914
IRL,M69_M70,28.036
IRL,M71,11.936
IRL,M72,6.908
IRL,M73,6.323
IRL,M74_M75,3.454
IRL,N,60.02
IRL,O84,253.97400000000002
IRL,P85,173.781
IRL,Q,110.87
IRL,R_S,66.425
IRL,T,0.0
IRL,U,0.0
IRL,FC_HH,11670.657000000001
ITA,A01,7412.106
ITA,A02,48.095
ITA,A03,506.398
ITA,B,2924.652
ITA,C10-C12,4661.1140000000005
ITA,C13-C15,2719.21
ITA,C16,613.134
ITA,C17,4573.24
ITA,C18,434.575
ITA,C19,16789.567
ITA,C20,10000.344000000001
ITA,C21,507.288
ITA,C22,1045.3410000000001
ITA,C23,27874.896
ITA,C24,15839.059000000001
ITA,C25,924.413
ITA,C26,308.30400000000003
ITA,C27,625.678
ITA,C28,1386.246
ITA,C29,940.54
ITA,C30,234.431
ITA,C31_C32,1040.422
ITA,C33,361.164
ITA,D35,85941.98
ITA,E36,1564.874
ITA,E37-E39,6448.679
ITA,F,4789.253
ITA,G45,582.482
ITA,G46,2921.626
ITA,G47,1355.718
ITA,H49,22322.601
ITA,H50,12871.231
ITA,H51,6816.886
ITA,H52,3729.215
ITA,H53,195.359
ITA,I,1770.067
ITA,J58,17.67
ITA,J59_J60,19.396
ITA,J61,15.38
ITA,J62_J63,137.096
ITA,K64,278.73900000000003
ITA,K65,5.548
ITA,K66,55.118
ITA,L68,235.28300000000002
ITA,M69_M70,346.798
ITA,M71,89.018
ITA,M72,83.917
ITA,M73,33.138
ITA,M74_M75,27.421
ITA,N,1332.6870000000001
ITA,O84,1751.102
ITA,P85,29.123
ITA,Q,1020.441
ITA,R_S,788.352
ITA,T,0.0
ITA,U,0.0
ITA,FC_HH,97250.33
LTU,A01,255.995
LTU,A02,46.375
LTU,A03,12.848
LTU,B,9.853
LTU,C10-C12,252.76500000000001
LTU,C13-C15,23.177
LTU,C16,72.372
LTU,C17,14.665000000000001
LTU,C18,14.875
LTU,C19,1360.477
LTU,C20,2190.776
LTU,C21,3.15
LTU,C22,7.227
LTU,C23,997.291
LTU,C24,2.98
LTU,C25,7.814
LTU,C26,0.6960000000000001
LTU,C27,2.27
LTU,C28,3.244
LTU,C29,1.36
LTU,C30,1.595
LTU,C31_C32,26.088
LTU,C33,4.191
LTU,D35,1841.21
LTU,E36,8.069
LTU,E37-E39,17.716
LTU,F,66.965
LTU,G45,41.458
LTU,G46,28.846
LTU,G47,10.219
LTU,H49,7447.819
LTU,H50,20.545
LTU,H51,79.58200000000001
LTU,H52,8.924
LTU,H53,3.717
LTU,I,13.832
LTU,J58,1.452
LTU,J59_J60,1.095
LTU,J61,2.882
LTU,J62_J63,5.147
LTU,K64,4.776
LTU,K65,2.066
LTU,K66,1.109
LTU,L68,17.091
LTU,M69_M70,10.538
LTU,M71,15.749
LTU,M72,1.699
LTU,M73,3.887
LTU,M74_M75,2.833
LTU,N,20.38
LTU,O84,73.561
LTU,P85,50.938
LTU,Q,35.222
LTU,R_S,25.287
LTU,T,0.864
LTU,U,0.0
LTU,FC_HH,2654.93
LUX,A01,55.0
LUX,A02,2.4
LUX,A03,0.0
LUX,B,6.4
LUX,C10-C12,28.900000000000002
LUX,C13-C15,49.0
LUX,C16,27.0
LUX,C17,4.8
LUX,C18,2.6
LUX,C19,0.0
LUX,C20,20.400000000000002
LUX,C21,0.01
LUX,C22,36.2
LUX,C23,830.8000000000001
LUX,C24,452.90000000000003
LUX,C25,15.3
LUX,C26,0.323
LUX,C27,3.9
LUX,C28,5.9
LUX,C29,1.2
LUX,C30,0.001
LUX,C31_C32,2.2
LUX,C33,3.7
LUX,D35,722.0
LUX,E36,0.6
LUX,E37-E39,19.0
LUX,F,140.70000000000002
LUX,G45,18.5
LUX,G46,139.8
LUX,G47,27.2
LUX,H49,162.3
LUX,H50,0.6
LUX,H51,3519.1
LUX,H52,46.0
LUX,H53,4.0
LUX,I,22.6
LUX,J58,2.4
LUX,J59_J60,1.3
LUX,J61,19.400000000000002
LUX,J62_J63,13.1
LUX,K64,108.7
LUX,K65,0.0
LUX,K66,4.1
LUX,L68,25.8
LUX,M69_M70,17.1
LUX,M71,8.6
LUX,M72,4.5
LUX,M73,2.4
LUX,M74_M75,1.2
LUX,N,56.800000000000004
LUX,O84,27.1
LUX,P85,30.0
LUX,Q,40.0
LUX,R_S,28.476
LUX,T,0.0
LUX,U,0.0
LUX,FC_HH,1508.0
LVA,A01,354.208
LVA,A02,104.31700000000001
LVA,A03,34.127
LVA,B,44.055
LVA,C10-C12,157.317
LVA,C13-C15,14.865
LVA,C16,102.59100000000001
LVA,C17,5.369
LVA,C18,2.62
LVA,C19,0.134
LVA,C20,19.537
LVA,C21,12.298
LVA,C22,11.727
LVA,C23,904.72
LVA,C24,5.484
LVA,C25,16.417
LVA,C26,0.876
LVA,C27,4.964
LVA,C28,6.038
LVA,C29,2.6270000000000002
LVA,C30,4.215
LVA,C31_C32,9.723
LVA,C33,74.206
LVA,D35,1681.588
LVA,E36,4.406
LVA,E37-E39,25.333000000000002
LVA,F,211.135
LVA,G45,23.729
LVA,G46,125.186
LVA,G47,35.878
LVA,H49,1832.3700000000001
LVA,H50,28.026
LVA,H51,433.661
LVA,H52,97.79
LVA,H53,6.651
LVA,I,19.005
LVA,J58,0.9460000000000001
LVA,J59_J60,0.776
LVA,J61,4.526
LVA,J62_J63,2.572
LVA,K64,3.673
LVA,K65,1.623
LVA,K66,0.46900000000000003
LVA,L68,101.763
LVA,M69_M70,7.0200000000000005
LVA,M71,8.563
LVA,M72,0.968
LVA,M73,6.7860000000000005
LVA,M74_M75,2.5260000000000002
LVA,N,47.024
LVA,O84,83.479
LVA,P85,16.724
LVA,Q,44.464
LVA,R_S,15.631
LVA,T,0.0
LVA,U,0.002
LVA,FC_HH,1929.076
MLT,A01,9.212
MLT,A02,0.0
MLT,A03,0.708
MLT,B,2.854
MLT,C10-C12,3.028
MLT,C13-C15,0.881
MLT,C16,0.625
MLT,C17,0.223
MLT,C18,0.41600000000000004
MLT,C19,0.508
MLT,C20,0.546
MLT,C21,0.665
MLT,C22,1.55
MLT,C23,1.131
MLT,C24,0.381
MLT,C25,1.494
MLT,C26,1.022
MLT,C27,0.74
MLT,C28,1.3900000000000001
MLT,C29,1.571
MLT,C30,0.651
MLT,C31_C32,8.999
MLT,C33,0.529
MLT,D35,1071.271
MLT,E36,0.553
MLT,E37-E39,2.449
MLT,F,12.148
MLT,G45,5.779
MLT,G46,15.381
MLT,G47,6.065
MLT,H49,83.134
MLT,H50,1957.6570000000002
MLT,H51,158.44400000000002
MLT,H52,3.9370000000000003
MLT,H53,0.659
MLT,I,2.836
MLT,J58,0.47200000000000003
MLT,J59_J60,0.768
MLT,J61,1.164
MLT,J62_J63,1.18
MLT,K64,1.283
MLT,K65,0.595
MLT,K66,0.5730000000000001
MLT,L68,1.764
MLT,M69_M70,2.0340000000000003
MLT,M71,1.1460000000000001
MLT,M72,0.685
MLT,M73,0.602
MLT,M74_M75,0.768
MLT,N,12.96
MLT,O84,7.307
MLT,P85,1.619
MLT,Q,3.206
MLT,R_S,3.1310000000000002
MLT,T,0.003
MLT,U,0.0
MLT,FC_HH,233.58100000000002
POL,A01,13659.593
POL,A02,361.04
POL,A03,379.418
POL,B,1519.505
POL,C10-C12,4757.719
POL,C13-C15,199.834
POL,C16,420.741
POL,C17,2338.213
POL,C18,41.969
